computer_No,department,user,computer_name,ip,processor,MOBO,power_supply,ram,SSD,OS
28,HRD,HR.Security,HR_WKS04,192.168.1.78,Intel Core i3-7100 CPU @ 3.90GHz,Asus H110M-D,Powerlogic ATX-700W,Crucial DDR4 4GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
29,ICT,JRBenavidez,LENOVO_LAPTOP01,192.168.1.129,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 8GB,HDD 1TB,Windows 10 Pro 64-bit
30,ICT,TQLabbino,ICT_WKS01,192.168.1.53,Intel(R) Core(TM) i7-12700 CPU @ 2.1 GHz,Asus PRIME H610M-E D4,SILVERSTONE 700W,KINGSTON FURY DDR4 16GB,"Seagate HDD 1TB/
Samsung SSD 500GB",Windows 10 Pro 64-bit
31,ICT,JTApellido,ICT_WKS02,192.168.1.54,12th Gen Intel(R) Core(TM) - i7-12700 CPU @ 2.10GHz,Asus PRIME H610M-K D4,SILVERSTONE ST70F 700W,Hyper X DDR3 8GB 2X,Samsung SSD 500GB,Windows 10 Pro 64-bit
32,ICT,AMJavier,ICT_WKS03,192.168.1.55,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,Asus H81M-D,Thermaltake 530W,Fury 8GB RAM 2X,Samsung SSD 500GB,Windows 10 Pro 64-bit
33,ICT,Conference Room,ACER_LAPTOP05,192.168.1.143,Intel Core i3-7100 CPU @ 3.90GHz,x,x,DDR4 8GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
34,ICT,Training Room,ICT_LAPTOP05S,192.168.1.144,Intel Core i3-1115G4 CPU @ 3000GHz,x,x,DDR4 8GB,SSD M.2 250GB,Windows 10 Pro 64-bit
35,ICT,Guard,ICT_WKS03S,192.168.1.145,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,Asus H61M-C,Intelligent 700W,SAMSUNG DDR4 8GB / SAMSUNG DDR4 4GB,Samsung SSD 500GB,Windows 10 Pro
36,ICT,-,ICT_LAPTOP01S,192.168.1.146,Intel(R) Core(TM) i3-7100U @ 2.40 GHz,x,x,8 GB,250 GB SSD,Windows 10 Pro 64-bit
37,ICT,-,ICT_LAPTOP02S,192.168.1.147,AMD RYZEN 5 7520U 2.80 GHz,x,x,8 GB,250 GB SSD,Windows 10 Pro 64-bit
38,ICT,-,ICT_LAPTOP03S,192.168.1.148,Intel(R) Core(TM) i5-1155G7 @ 2.50 GHz,x,x,8 GB,250 GB SSD,Windows 10 Pro 64-bit
39,ICT,-,ICT_LAPTOP04S,192.168.1.149,Intel(R) Core(TM) i3-7100 2-40 GHz,x,x,8 GB,250 GB SSD,Windows 10 Pro 64-bit
40,LOG,ELMacasadia,LENOVO_LAPTOP13,192.168.1.130,Intel Core i7-8265 CPU @ 1.80Ghz,x,x,DDR4 16GB,SSD M.2 500GB,Windows 10 Pro 64-bit
41,LOG,GFAdorna,LENOVO_WKS20,192.168.1.61,Intel Core i5-10400 CPU @ 2.90GHz,Lenovo 1470MS,Huntkey 180W,DDR4 8GB,SSD 512GB,Windows 10 Pro 64-bit
42,LOG,RDMailom,LOG_WKS01,192.168.1.62,Intel Core i7-11700 CPU @ 2.50GHz,Gigabyte H510M,HV PRO 85+,Team Group DDR4 8GB,Crucial SSD 500GB,Windows 10 Pro 64-bit
43,LOG,ABorja,LENOVO_WKS25,192.168.1.63,Intel Core i5-6500 CPU @ 3.20Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
44,LOG,GMRoa,LENOVO_WKS02,192.168.1.70,Intel Core i5-6500 CPU @ 3.20Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
45,LOG,CEBeren,LOG_WKS04,192.168.1.65,Intel Core i5-6500 CPU @ 3.20Ghz,Asus H81M-C,ANTEC Meta,T-Force DDR4 8GB,SSD 516GB,Windows 10 Pro 64-bit
46,LOG,JPSiojo,LOG_WKS05,192.168.1.66,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 210W,DDR4 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
47,LOG,DQOriel,LOG_WKS06,192.168.1.67,Intel Core i5-7500 CPU @ 3.40Ghz,Asus H110M-D,ANTEC Meta,T-Force DDR4 8GB,SSD 515GB,Windows 10 Pro 64-bit
48,LOG,AILopez,LENOVO_WKS16,192.168.1.68,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 180W,DDR4 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
49,LOG,NJSiman,LOG_WKS08,192.168.1.69,Intel(R) Core(TM) i7-12700 CPU @ 2.1 GHz,Asus PRIME H610M-E D4,SILVERSTONE 700W,KINGSTON FURY DDR4 16GB,"Seagate HDD 1TB/
Samsung SSD 500GB",Windows 10 Pro 64-bit
50,PID,IMRodenas,LENOVO_LAPTOP14,192.168.1.131,Intel Core i7-8265 CPU @ 1.80Ghz,x,x,DDR4 16GB,SSD M.2 500GB,Windows 10 Pro 64-bit
51,PID,INTuliao,PID_WKS01,192.168.1.71,Intel Core i3-2100U CPU @ 3.10GHz,H61H2-MV,Neutron ATX-700W,KINGSTON DDR3 8GB,HIKSEMI SSD 250GB,Windows 10 Pro 64-bit
52,PID,MCCondat,PID_WKS02,192.168.1.72,Intel Core i5-10400 CPU @ 2.90GHz,ASUS P8H77-MLE,ANTEC V550,FURY DDR4 8 GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
53,PID,JBVelasquez,PID_WKS03,192.168.1.73,Intel Core i5-10400 CPU @ 2.90GHz,ASUS P8H77-MLE,ANTEC V550,FURY DDR4 8 GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
54,PID,JVPasuengos,PID_WKS04,192.168.1.74,Intel Core i3-7100 CPU @ 3.90GHz,INTEL DH55HC,POWER LOGIC 600,ZEPPELIN 4GB / KINGSTON 4GB,TOSHIBA HDD 500GB,Windows 10 Pro 64-bit
